GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
SAT4J core,org.sat4j.minisat.core,SizeLCDS,97,28,8,2,14,12,6,8,2,7
SAT4J core,org.sat4j.minisat.core,Glucose2LCDS,10,36,0,4,2,9,1,4,1,2
SAT4J core,org.sat4j.minisat.core,SimplificationType,48,0,0,0,2,0,4,0,4,0
SAT4J core,org.sat4j.minisat.core,IntQueue,62,95,10,6,9,18,9,7,1,7
SAT4J core,org.sat4j.minisat.core,SizeComparator,0,25,0,2,0,5,0,3,0,2
SAT4J core,org.sat4j.minisat.core,GlucoseLCDS,47,150,2,12,6,35,4,12,2,7
SAT4J core,org.sat4j.minisat.core,VoidTracing,0,3,0,0,0,1,0,1,0,1
SAT4J core,org.sat4j.minisat.core,Pair,0,17,0,0,0,7,0,5,0,5
SAT4J core,org.sat4j.minisat.core,Solver.new Comparator() {...},4,62,2,4,2,10,2,3,0,2
SAT4J core,org.sat4j.minisat.core,Solver.new ConflictTimerAdapter() {...},0,12,0,0,0,3,0,2,0,2
SAT4J core,org.sat4j.minisat.core,Solver.new Comparator() {...},16,6,0,0,1,1,1,1,1,1
SAT4J core,org.sat4j.minisat.core,Solver.new LearnedConstraintsDeletionStrategy() {...},149,0,12,0,24,0,14,0,8,0
SAT4J core,org.sat4j.minisat.core,Solver.new TimerTask() {...},0,20,0,0,0,5,0,2,0,2
SAT4J core,org.sat4j.minisat.core,Solver.new ISimplifier() {...},2,11,0,0,1,3,1,2,1,2
SAT4J core,org.sat4j.minisat.core,Solver.new ISimplifier() {...},2,11,0,0,1,3,1,2,1,2
SAT4J core,org.sat4j.minisat.core,Solver.new ISimplifier() {...},2,4,0,0,1,2,1,2,1,2
SAT4J core,org.sat4j.minisat.core,Solver.new ISimplifier() {...},2,11,0,0,1,3,1,2,1,2
SAT4J core,org.sat4j.minisat.core,SearchParams,83,52,6,0,22,17,8,9,5,9
SAT4J core,org.sat4j.minisat.core,AgeLCDS,116,16,10,0,15,9,7,6,2,6
SAT4J core,org.sat4j.minisat.core,Solver.new Object() {...},26,0,0,0,1,0,1,0,1,0
