GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
adapter-stamp,eu.supersede.dynadapt.usecases.patterns,CMSConfigurationInstancesMatcher,143,0,2,0,33,0,18,0,17,0
adapter-stamp,eu.supersede.dynadapt.usecases.patterns,VirtualExecutionEnvContainingAComponentMatch,287,0,42,0,60,0,40,0,19,0
adapter-stamp,eu.supersede.dynadapt.usecases.patterns,GetMeteorologicalDataServicesMatch,195,0,28,0,47,0,31,0,17,0
adapter-stamp,eu.supersede.dynadapt.usecases.patterns,InstanceSpecificationsAsManifestationsOfNodeArtifactsMatcher,232,0,2,0,41,0,24,0,23,0
adapter-stamp,eu.supersede.dynadapt.usecases.patterns,HSKVirtualExecutionEnvironmentsMatcher,143,0,2,0,33,0,18,0,17,0
adapter-stamp,eu.supersede.dynadapt.usecases.patterns,ArtifactManifestationsMatch.Immutable,8,0,0,0,3,0,2,0,2,0
adapter-stamp,eu.supersede.dynadapt.usecases.patterns,InstanceSpecificationLinkMatch,195,0,28,0,47,0,31,0,17,0
adapter-stamp,eu.supersede.dynadapt.usecases.patterns,HSKVirtualExecutionEnvironmentsMatch.Immutable,7,0,0,0,3,0,2,0,2,0
adapter-stamp,eu.supersede.dynadapt.usecases.patterns,InstancesMatch,287,0,42,0,60,0,40,0,19,0
adapter-stamp,eu.supersede.dynadapt.usecases.patterns,CMSConfigurationInstancesMatch.Mutable,7,0,0,0,3,0,2,0,2,0
adapter-stamp,eu.supersede.dynadapt.usecases.patterns,HSKExecutionEnvironmentsMatch,195,0,28,0,47,0,31,0,17,0
adapter-stamp,eu.supersede.dynadapt.usecases.patterns,ClassGeneralizationsMatcher,232,0,2,0,41,0,24,0,23,0
adapter-stamp,eu.supersede.dynadapt.usecases.patterns,RealizationsMatch.Mutable,8,0,0,0,3,0,2,0,2,0
adapter-stamp,eu.supersede.dynadapt.usecases.patterns,VirtualExecutionEnvContainingAComponentMatcher,232,0,2,0,41,0,24,0,23,0
